# started on Fri Apr  3 17:39:54 2026

#           time             counts unit events
    22.024398790         30,131,657      L1-icache-load-misses                                                   (18.63%)
    22.024398790         10,832,555      LLC-loads                                                               (27.75%)
    22.024398790          3,269,265      LLC-load-misses                  #   30.18% of all LL-cache accesses    (36.85%)
    22.024398790          2,601,107      dTLB-load-misses                                                        (36.30%)
    22.024398790            539,725      iTLB-load-misses                                                        (35.78%)
    22.024398790             10,613      minor-faults                                                          
    22.024398790                  0      major-faults                                                          
    23.025809667      2,110,641,126      cycles                                                                  (36.71%)
    23.025809667      2,698,567,010      instructions                     #    1.28  insn per cycle              (45.65%)
    23.025809667        540,184,482      branches                                                                (45.81%)
    23.025809667         15,343,405      branch-misses                    #    2.84% of all branches             (45.45%)
    23.025809667        818,784,264      L1-dcache-loads                                                         (45.17%)
    23.025809667         31,472,578      L1-dcache-load-misses            #    3.84% of all L1-dcache accesses   (18.12%)
    23.025809667    <not supported>      L1-icache-loads                                                       
    23.025809667         27,740,428      L1-icache-load-misses                                                   (18.20%)
    23.025809667          9,666,711      LLC-loads                                                               (27.23%)
    23.025809667          3,320,885      LLC-load-misses                  #   34.35% of all LL-cache accesses    (36.26%)
    23.025809667          2,358,150      dTLB-load-misses                                                        (36.42%)
    23.025809667            428,394      iTLB-load-misses                                                        (36.61%)
    23.025809667              8,664      minor-faults                                                          
    23.025809667                  0      major-faults                                                          
    24.027405230      2,121,696,821      cycles                                                                  (36.66%)
    24.027405230      2,484,156,654      instructions                     #    1.17  insn per cycle              (45.56%)
    24.027405230        490,687,339      branches                                                                (45.28%)
    24.027405230         16,819,416      branch-misses                    #    3.43% of all branches             (45.28%)
    24.027405230        760,965,635      L1-dcache-loads                                                         (45.13%)
    24.027405230         32,429,504      L1-dcache-load-misses            #    4.26% of all L1-dcache accesses   (18.11%)
    24.027405230    <not supported>      L1-icache-loads                                                       
    24.027405230         28,367,002      L1-icache-load-misses                                                   (18.11%)
    24.027405230         11,554,463      LLC-loads                                                               (27.32%)
    24.027405230          3,571,989      LLC-load-misses                  #   30.91% of all LL-cache accesses    (36.42%)
    24.027405230          2,601,077      dTLB-load-misses                                                        (36.62%)
    24.027405230            485,047      iTLB-load-misses                                                        (36.78%)
    24.027405230              6,369      minor-faults                                                          
    24.027405230                  0      major-faults                                                          
    25.028772248      2,120,792,308      cycles                                                                  (36.27%)
    25.028772248      2,694,985,812      instructions                     #    1.27  insn per cycle              (45.48%)
    25.028772248        524,989,997      branches                                                                (45.58%)
    25.028772248         16,576,354      branch-misses                    #    3.16% of all branches             (45.59%)
    25.028772248        795,743,901      L1-dcache-loads                                                         (45.54%)
    25.028772248         34,797,404      L1-dcache-load-misses            #    4.37% of all L1-dcache accesses   (18.31%)
    25.028772248    <not supported>      L1-icache-loads                                                       
    25.028772248         28,380,666      L1-icache-load-misses                                                   (18.21%)
    25.028772248         10,664,500      LLC-loads                                                               (27.31%)
    25.028772248          3,256,743      LLC-load-misses                  #   30.54% of all LL-cache accesses    (36.32%)
    25.028772248          2,482,846      dTLB-load-misses                                                        (36.11%)
    25.028772248            471,750      iTLB-load-misses                                                        (36.25%)
    25.028772248              4,506      minor-faults                                                          
    25.028772248                  0      major-faults                                                          
    26.030179592      2,121,231,269      cycles                                                                  (36.52%)
    26.030179592      2,639,298,946      instructions                     #    1.24  insn per cycle              (45.64%)
    26.030179592        517,465,701      branches                                                                (45.64%)
    26.030179592         16,349,206      branch-misses                    #    3.16% of all branches             (45.63%)
    26.030179592        808,728,287      L1-dcache-loads                                                         (45.46%)
    26.030179592         34,474,941      L1-dcache-load-misses            #    4.26% of all L1-dcache accesses   (18.04%)
    26.030179592    <not supported>      L1-icache-loads                                                       
    26.030179592         28,826,551      L1-icache-load-misses                                                   (18.00%)
    26.030179592         10,857,562      LLC-loads                                                               (27.12%)
    26.030179592          3,210,212      LLC-load-misses                  #   29.57% of all LL-cache accesses    (36.12%)
    26.030179592          2,483,948      dTLB-load-misses                                                        (36.32%)
    26.030179592            468,933      iTLB-load-misses                                                        (36.53%)
    26.030179592              4,534      minor-faults                                                          
    26.030179592                  0      major-faults                                                          
#           time             counts unit events
    27.031006348      2,126,821,706      cycles                                                                  (36.62%)
    27.031006348      2,738,732,594      instructions                     #    1.29  insn per cycle              (45.65%)
    27.031006348        534,705,135      branches                                                                (45.14%)
    27.031006348         16,284,274      branch-misses                    #    3.05% of all branches             (44.93%)
    27.031006348        828,109,110      L1-dcache-loads                                                         (45.01%)
    27.031006348         35,517,165      L1-dcache-load-misses            #    4.29% of all L1-dcache accesses   (18.24%)
    27.031006348    <not supported>      L1-icache-loads                                                       
    27.031006348         29,310,273      L1-icache-load-misses                                                   (18.26%)
    27.031006348         10,490,234      LLC-loads                                                               (27.35%)
    27.031006348          3,183,503      LLC-load-misses                  #   30.35% of all LL-cache accesses    (36.63%)
    27.031006348          2,555,715      dTLB-load-misses                                                        (36.83%)
    27.031006348            464,687      iTLB-load-misses                                                        (36.83%)
    27.031006348              4,131      minor-faults                                                          
    27.031006348                  0      major-faults                                                          
